Date,Meal,Food,Gram,Calories
2026-05-18,Breakfast,oats,66.0,248.0
2026-05-17,Breakfast,oats,66.0,248.0
2026-05-16,Dinner,oats,66.0,248.0
2026-05-15,Breakfast,oats,66.0,248.0
2026-05-14,Breakfast,oats,66.0,248.0
2026-05-13,Dinner,oats,66.0,248.0
2026-05-12,Dinner,oats,66.0,248.0
2026-05-18,Breakfast,milk,200.0,134.0
2026-05-18,Lunch,ryebread,200.0,0.0
2026-05-18,Dinner,beef,500.0,645.0
2026-05-15,Dinner,beef,500.0,645.0
2026-05-13,Dinner,beef,500.0,645.0
2026-05-14,Dinner,beef,500.0,645.0
2026-05-13,Dinner,beef,500.0,645.0
2026-05-19,Breakfast,oats,200.0,750.0
2026-05-19,Breakfast,oats,200.0,750.0
2026-05-19,Breakfast,oats,33.0,124.0
2026-05-24,Lunch,Egg,130.0,207.0
2026-05-24,Breakfast,Strawberry,150.0,75.0
2026-05-24,Breakfast,yoghurt,200.0,320.0
2026-05-25,Dinner,Beef,200,258.0
